RowID,OrderYearMonth,OrderDate,CustomerName,Segment,Region,Category,Sales
38,202202,2022-02-02,Delfina Latchford,Consumer,East,Technology,124.2
39,202202,2022-02-04,David Wiener,Corporate,West,Office Supplies,64.864
40,202202,2022-02-05,Toby Swindell,Consumer,West,Furniture,181.47
41,202202,2022-02-05,Toby Swindell,Consumer,West,Office Supplies,32.34
42,202202,2022-02-05,Toby Swindell,Consumer,West,Office Supplies,108.72
43,202202,2022-02-05,Toby Swindell,Consumer,West,Office Supplies,56.064
44,202202,2022-02-06,Hunter Lopez,Consumer,South,Furniture,1067.94
45,202202,2022-02-06,Xylona Preis,Consumer,Central,Furniture,14.73
46,202202,2022-02-06,Xylona Preis,Consumer,Central,Furniture,272.94
47,202202,2022-02-06,Hunter Lopez,Consumer,South,Furniture,38.6
48,202202,2022-02-06,Mark Van Huff,Consumer,West,Furniture,19.3
49,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,247.716
50,202202,2022-02-06,Hunter Lopez,Consumer,South,Office Supplies,22.96
51,202202,2022-02-06,Hunter Lopez,Consumer,South,Office Supplies,6.63
52,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,43.92
53,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,19.05
54,202202,2022-02-06,Muhammed MacIntyre,Corporate,South,Office Supplies,67.194
55,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,29.7
56,202202,2022-02-06,Hunter Lopez,Consumer,South,Office Supplies,23.34
57,202202,2022-02-06,Mark Van Huff,Consumer,West,Office Supplies,19.36
58,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,13.98
59,202202,2022-02-06,Xylona Preis,Consumer,Central,Office Supplies,66.58
60,202202,2022-02-06,Hunter Lopez,Consumer,South,Technology,699.93
61,202202,2022-02-07,Tom Boeckenhauer,Consumer,South,Furniture,25.248
62,202202,2022-02-07,Jane Waco,Corporate,East,Furniture,24.3
63,202202,2022-02-07,Jane Waco,Corporate,East,Furniture,9.48
64,202202,2022-02-07,Jane Waco,Corporate,East,Furniture,31.4
65,202202,2022-02-07,Jane Waco,Corporate,East,Office Supplies,6.48
66,202202,2022-02-07,Jane Waco,Corporate,East,Technology,209.5
67,202202,2022-02-09,Speros Goranitis,Consumer,Central,Office Supplies,5.94
68,202202,2022-02-09,Ionia McGrath,Consumer,West,Office Supplies,40.08
69,202202,2022-02-12,Carol Adams,Corporate,Central,Furniture,141.96
70,202202,2022-02-12,Shirley Daniels,Home Office,South,Furniture,12.42
71,202202,2022-02-12,Shirley Daniels,Home Office,South,Furniture,62.82
72,202202,2022-02-12,Carol Adams,Corporate,Central,Office Supplies,10.68
73,202202,2022-02-12,Shirley Daniels,Home Office,South,Office Supplies,16.68
74,202202,2022-02-12,Shirley Daniels,Home Office,South,Office Supplies,19.44
75,202202,2022-02-12,Shirley Daniels,Home Office,South,Office Supplies,489.92
76,202202,2022-02-12,Shirley Daniels,Home Office,South,Technology,187.98
77,202202,2022-02-12,Shirley Daniels,Home Office,South,Technology,155.35
78,202202,2022-02-13,Ed Jacobs,Consumer,West,Furniture,333.0
79,202202,2022-02-13,Ed Jacobs,Consumer,West,Office Supplies,36.44
80,202202,2022-02-13,Ed Jacobs,Consumer,West,Office Supplies,57.23
81,202202,2022-02-14,Jasper Cacioppo,Consumer,East,Office Supplies,3.928
82,202202,2022-02-16,Mike Vittorini,Consumer,Central,Office Supplies,10.56
83,202202,2022-02-16,Mike Vittorini,Consumer,Central,Office Supplies,229.94
84,202202,2022-02-17,Liz Carlisle,Consumer,West,Furniture,290.666
85,202202,2022-02-18,Bradley Drucker,Consumer,Central,Technology,468.9
86,202202,2022-02-19,Eric Barreto,Consumer,South,Office Supplies,18.336
87,202202,2022-02-19,Cynthia Delaney,Home Office,West,Office Supplies,12.35
88,202202,2022-02-19,Eric Barreto,Consumer,South,Technology,180.96
89,202202,2022-02-20,Tom Boeckenhauer,Consumer,West,Office Supplies,13.272
90,202202,2022-02-20,Tom Boeckenhauer,Consumer,West,Office Supplies,83.84
91,202202,2022-02-21,Mark Haberlin,Corporate,West,Office Supplies,17.248
92,202202,2022-02-21,Deborah Brumfield,Home Office,West,Office Supplies,82.896
93,202202,2022-02-21,Deborah Brumfield,Home Office,West,Office Supplies,34.24
94,202202,2022-02-23,Delfina Latchford,Consumer,Central,Office Supplies,8.952
95,202202,2022-02-23,Neil Ducich,Corporate,South,Office Supplies,15.0
96,202202,2022-02-23,Neil Ducich,Corporate,South,Technology,144.95
97,202202,2022-02-23,Neil Ducich,Corporate,South,Technology,161.61
98,202202,2022-02-24,Chris Selesnick,Corporate,East,Office Supplies,64.96
99,202202,2022-02-24,Cyma Kinney,Corporate,East,Technology,115.36
100,202202,2022-02-25,Nathan Mautz,Home Office,West,Furniture,14.56
101,202202,2022-02-28,Guy Armstrong,Consumer,Central,Furniture,60.89
102,202202,2022-02-28,Guy Armstrong,Consumer,Central,Furniture,332.94
103,202202,2022-02-28,Natalie Fritzler,Consumer,South,Furniture,1256.22
104,202202,2022-02-28,Natalie Fritzler,Consumer,South,Office Supplies,17.46
105,202202,2022-02-28,Guy Armstrong,Consumer,Central,Office Supplies,51.9
106,202202,2022-02-28,Guy Armstrong,Consumer,Central,Office Supplies,9.64
107,202202,2022-02-28,Guy Armstrong,Consumer,Central,Office Supplies,14.94
108,202202,2022-02-28,Guy Armstrong,Consumer,Central,Office Supplies,64.96
109,202202,2022-02-28,Natalie Fritzler,Consumer,South,Technology,234.45
110,202203,2022-03-01,Sanjit Chand,Consumer,West,Furniture,129.568
111,202203,2022-03-03,Marina Lichtenstein,Corporate,West,Office Supplies,81.96
112,202203,2022-03-03,Shui Tom,Consumer,Central,Office Supplies,16.176
113,202203,2022-03-03,Marina Lichtenstein,Corporate,West,Office Supplies,238.62
114,202203,2022-03-03,Marina Lichtenstein,Corporate,West,Technology,239.97
115,202203,2022-03-04,Barry Französisch,Corporate,West,Office Supplies,21.36
116,202203,2022-03-05,Michael Nguyen,Consumer,Central,Office Supplies,7.96
117,202203,2022-03-05,Michael Nguyen,Consumer,Central,Office Supplies,1.08
118,202203,2022-03-06,Delfina Latchford,Consumer,Central,Office Supplies,54.208
119,202203,2022-03-07,Troy Blackwell,Consumer,Central,Furniture,25.16
120,202203,2022-03-07,Aaron Bergman,Consumer,Central,Office Supplies,12.624
121,202203,2022-03-09,Linda Cazamias,Corporate,Central,Furniture,20.32
122,202203,2022-03-09,Steven Roelle,Home Office,West,Office Supplies,12.96
123,202203,2022-03-09,Linda Cazamias,Corporate,Central,Technology,62.31
124,202203,2022-03-10,Tamara Manning,Consumer,Central,Office Supplies,8.85
125,202203,2022-03-11,Sue Ann Reed,Consumer,West,Office Supplies,19.44
126,202203,2022-03-12,Michael Grace,Home Office,Central,Office Supplies,4.428
127,202203,2022-03-12,Michael Grace,Home Office,Central,Office Supplies,6.936
128,202203,2022-03-13,Jennifer Halladay,Consumer,West,Office Supplies,22.776
129,202203,2022-03-13,Jennifer Halladay,Consumer,West,Office Supplies,32.896
130,202203,2022-03-16,Joy Smith,Consumer,East,Office Supplies,19.456
131,202203,2022-03-18,Vicky Freymann,Home Office,Central,Furniture,634.116
132,202203,2022-03-18,Shahid Collister,Consumer,Central,Furniture,362.25
133,202203,2022-03-18,Dave Brooks,Consumer,West,Furniture,457.568
134,202203,2022-03-18,Shahid Collister,Consumer,Central,Furniture,63.552
135,202203,2022-03-18,Giulietta Weimer,Consumer,Central,Furniture,376.509
136,202203,2022-03-18,Shahid Collister,Consumer,Central,Office Supplies,18.84
137,202203,2022-03-18,Vicky Freymann,Home Office,Central,Office Supplies,17.472
138,202203,2022-03-18,Shahid Collister,Consumer,Central,Office Supplies,129.552
139,202203,2022-03-18,Giulietta Weimer,Consumer,Central,Office Supplies,137.352
140,202203,2022-03-18,Hallie Redmond,Home Office,East,Technology,5.94
141,202203,2022-03-19,Kristina Nunn,Home Office,East,Office Supplies,11.36
142,202203,2022-03-19,Nicole Hansen,Corporate,East,Office Supplies,3.424
143,202203,2022-03-19,Kristina Nunn,Home Office,East,Office Supplies,36.4
144,202203,2022-03-19,Nicole Hansen,Corporate,East,Technology,151.2
145,202203,2022-03-20,Jill Stevenson,Corporate,East,Furniture,302.45
146,202203,2022-03-20,Eva Jacobs,Consumer,West,Furniture,626.352
147,202203,2022-03-20,Sam Craven,Consumer,Central,Office Supplies,176.772
148,202203,2022-03-20,Ashley Jarboe,Consumer,South,Office Supplies,19.456
149,202203,2022-03-20,Anne Pryor,Home Office,East,Office Supplies,25.32
150,202203,2022-03-20,Anne Pryor,Home Office,East,Office Supplies,125.76
151,202203,2022-03-20,Jill Stevenson,Corporate,East,Office Supplies,15.12
152,202203,2022-03-20,Jill Stevenson,Corporate,East,Office Supplies,44.672
153,202203,2022-03-20,Anne Pryor,Home Office,East,Technology,9.99
154,202203,2022-03-21,Sanjit Chand,Consumer,South,Office Supplies,15.552
155,202203,2022-03-21,Clay Ludtke,Consumer,South,Office Supplies,354.9
156,202203,2022-03-22,Aimee Bixby,Consumer,East,Office Supplies,59.52
157,202203,2022-03-22,Aimee Bixby,Consumer,East,Office Supplies,49.632
158,202203,2022-03-22,Aimee Bixby,Consumer,East,Office Supplies,97.82
159,202203,2022-03-22,Aimee Bixby,Consumer,East,Office Supplies,18.62
160,202203,2022-03-22,Aimee Bixby,Consumer,East,Technology,479.97
161,202203,2022-03-24,Craig Molinari,Corporate,West,Furniture,436.704
162,202203,2022-03-24,Aaron Bergman,Consumer,West,Furniture,48.712
163,202203,2022-03-24,Craig Molinari,Corporate,West,Furniture,481.568
164,202203,2022-03-24,Craig Molinari,Corporate,West,Office Supplies,20.65
165,202203,2022-03-24,Aaron Bergman,Consumer,West,Office Supplies,17.94
166,202203,2022-03-24,Nora Pelletier,Home Office,West,Office Supplies,107.648
167,202203,2022-03-24,Craig Molinari,Corporate,West,Office Supplies,204.9
168,202203,2022-03-24,Aaron Bergman,Consumer,West,Office Supplies,242.94
169,202203,2022-03-27,Kean Thornton,Consumer,West,Office Supplies,83.168
170,202203,2022-03-27,Scott Williamson,Consumer,Central,Office Supplies,22.38
171,202203,2022-03-27,Kean Thornton,Consumer,West,Office Supplies,636.408
172,202203,2022-03-28,Chloris Kastensmidt,Consumer,East,Furniture,8.32
173,202203,2022-03-28,Filia McAdams,Corporate,South,Office Supplies,146.76
174,202203,2022-03-28,Richard Bierner,Consumer,West,Office Supplies,7.98
175,202203,2022-03-28,Chloris Kastensmidt,Consumer,East,Office Supplies,10.464
176,202203,2022-03-28,Filia McAdams,Corporate,South,Office Supplies,14.94
177,202203,2022-03-28,Kelly Andreada,Consumer,East,Office Supplies,108.92
178,202203,2022-03-28,Filia McAdams,Corporate,South,Technology,32.96
179,202203,2022-03-28,Filia McAdams,Corporate,South,Technology,587.97
180,202203,2022-03-30,Nicole Fjeld,Home Office,West,Furniture,915.14
181,202203,2022-03-30,Nicole Fjeld,Home Office,West,Furniture,327.76
182,202203,2022-03-31,Christine Kargatis,Home Office,South,Furniture,1139.92
183,202203,2022-03-31,Dean Katz,Corporate,West,Office Supplies,3.38
184,202203,2022-03-31,Jason Fortune-,Consumer,West,Office Supplies,33.088
185,202203,2022-03-31,Jason Fortune-,Consumer,West,Office Supplies,62.048
186,202203,2022-03-31,Neil Französisch,Home Office,South,Office Supplies,91.056
187,202203,2022-03-31,Dean Katz,Corporate,West,Office Supplies,10.56
188,202203,2022-03-31,Rick Bensley,Home Office,Central,Office Supplies,8.448
189,202203,2022-03-31,Jason Fortune-,Consumer,West,Office Supplies,80.98
190,202203,2022-03-31,Jason Fortune-,Consumer,West,Office Supplies,21.36
191,202203,2022-03-31,Jason Fortune-,Consumer,West,Technology,82.8
192,202203,2022-03-31,Rick Bensley,Home Office,Central,Technology,574.91
193,202204,2022-04-01,Alan Shonely,Consumer,South,Furniture,45.696
194,202204,2022-04-01,Alan Shonely,Consumer,South,Office Supplies,7.218
195,202204,2022-04-01,Alan Shonely,Consumer,South,Office Supplies,43.188
196,202204,2022-04-01,Alan Shonely,Consumer,South,Office Supplies,131.904
197,202204,2022-04-01,Alan Shonely,Consumer,South,Office Supplies,142.776
198,202204,2022-04-02,Kristina Nunn,Home Office,South,Technology,471.92
199,202204,2022-04-03,Christine Phan,Corporate,East,Furniture,1071.576
200,202204,2022-04-03,Christine Phan,Corporate,East,Furniture,1579.746
201,202204,2022-04-03,Christine Phan,Corporate,East,Furniture,613.908
202,202204,2022-04-03,Bradley Nguyen,Consumer,Central,Office Supplies,93.78
203,202204,2022-04-03,Mark Haberlin,Corporate,South,Office Supplies,32.67
204,202204,2022-04-03,Annie Zypern,Consumer,Central,Office Supplies,4.448
205,202204,2022-04-03,Bradley Nguyen,Consumer,Central,Office Supplies,19.68
206,202204,2022-04-03,Bradley Nguyen,Consumer,Central,Office Supplies,35.88
207,202204,2022-04-03,Mark Haberlin,Corporate,South,Office Supplies,30.44
208,202204,2022-04-03,Mark Haberlin,Corporate,South,Office Supplies,11.43
209,202204,2022-04-03,Bradley Nguyen,Consumer,Central,Office Supplies,53.4
210,202204,2022-04-03,Bradley Nguyen,Consumer,Central,Office Supplies,47.18
211,202204,2022-04-03,Christine Phan,Corporate,East,Office Supplies,155.04
212,202204,2022-04-03,Annie Zypern,Consumer,Central,Office Supplies,5.184
213,202204,2022-04-03,Annie Zypern,Consumer,Central,Office Supplies,15.552
214,202204,2022-04-03,Christine Phan,Corporate,East,Office Supplies,34.86
215,202204,2022-04-03,Mark Haberlin,Corporate,South,Office Supplies,16.0
216,202204,2022-04-03,Mark Haberlin,Corporate,South,Office Supplies,12.96
217,202204,2022-04-03,Quincy Jones,Corporate,East,Office Supplies,126.624
218,202204,2022-04-04,Eileen Kiefer,Home Office,West,Furniture,1198.33
219,202204,2022-04-04,Sean Miller,Home Office,South,Furniture,122.352
220,202204,2022-04-04,Sean Miller,Home Office,South,Furniture,30.768
221,202204,2022-04-04,Sample Company A,Home Office,West,Furniture,111.0
222,202204,2022-04-04,Sean Miller,Home Office,South,Office Supplies,8.016
223,202204,2022-04-04,Sean Miller,Home Office,South,Office Supplies,18.936
224,202204,2022-04-04,Sean Miller,Home Office,South,Office Supplies,21.376
225,202204,2022-04-04,Sample Company A,Home Office,West,Office Supplies,1856.19
226,202204,2022-04-04,Sample Company A,Home Office,West,Technology,1279.968
227,202204,2022-04-04,Sean Miller,Home Office,South,Technology,22638.48
228,202204,2022-04-04,Sean Miller,Home Office,South,Technology,821.3
229,202204,2022-04-05,Matt Connell,Corporate,South,Furniture,20.016
230,202204,2022-04-05,Matt Connell,Corporate,South,Furniture,4.992
231,202204,2022-04-05,Matt Connell,Corporate,South,Office Supplies,33.57
232,202204,2022-04-05,Matt Connell,Corporate,South,Office Supplies,11.808
233,202204,2022-04-05,Matt Connell,Corporate,South,Office Supplies,26.16
234,202204,2022-04-05,Matt Connell,Corporate,South,Technology,170.24
235,202204,2022-04-05,Matt Connell,Corporate,South,Technology,323.976
236,202204,2022-04-07,Gary McGarr,Consumer,South,Furniture,218.376
237,202204,2022-04-07,Gary McGarr,Consumer,South,Furniture,32.952
238,202204,2022-04-07,Kristen Hastings,Corporate,South,Office Supplies,9.32
239,202204,2022-04-07,Cassandra Brandow,Consumer,East,Office Supplies,6.048
240,202204,2022-04-07,Cassandra Brandow,Consumer,East,Office Supplies,7.408
241,202204,2022-04-07,Kristen Hastings,Corporate,South,Office Supplies,122.94
242,202204,2022-04-07,Kristen Hastings,Corporate,South,Office Supplies,14.4
243,202204,2022-04-07,Gary McGarr,Consumer,South,Office Supplies,59.2
244,202204,2022-04-07,Kristen Hastings,Corporate,South,Office Supplies,122.97
245,202204,2022-04-07,Thomas Seio,Corporate,South,Office Supplies,16.272
246,202204,2022-04-07,Kristen Hastings,Corporate,South,Technology,3499.93
247,202204,2022-04-08,Beth Fritzler,Corporate,West,Furniture,314.352
248,202204,2022-04-08,Vivian Mathis,Consumer,Central,Office Supplies,16.28
249,202204,2022-04-08,Craig Carroll,Consumer,South,Office Supplies,51.465
250,202204,2022-04-08,Craig Carroll,Consumer,South,Office Supplies,7.644
251,202204,2022-04-08,Beth Fritzler,Corporate,West,Office Supplies,74.352
252,202204,2022-04-09,Bruce Geld,Consumer,South,Office Supplies,9.912
253,202204,2022-04-09,Patrick O'Donnell,Consumer,West,Office Supplies,330.4
254,202204,2022-04-09,Patrick O'Donnell,Consumer,West,Technology,604.752
255,202204,2022-04-10,Maurice Satty,Consumer,West,Furniture,40.48
256,202204,2022-04-10,Carlos Daly,Consumer,East,Office Supplies,24.9
257,202204,2022-04-11,Annie Zypern,Consumer,East,Furniture,366.786
258,202204,2022-04-11,Christina Anderson,Consumer,West,Office Supplies,25.44
259,202204,2022-04-11,Christina Anderson,Consumer,West,Office Supplies,14.88
260,202204,2022-04-11,Christina Anderson,Consumer,West,Office Supplies,6.56
261,202204,2022-04-11,Christina Anderson,Consumer,West,Technology,45.48
262,202204,2022-04-12,Damala Kotsonis,Corporate,West,Office Supplies,3.36
263,202204,2022-04-12,Damala Kotsonis,Corporate,West,Office Supplies,27.936
264,202204,2022-04-12,Cindy Stewart,Consumer,West,Office Supplies,18.75
265,202204,2022-04-12,Jonathan Doherty,Corporate,West,Technology,66.3
266,202204,2022-04-12,Damala Kotsonis,Corporate,West,Technology,28.784
267,202204,2022-04-14,Mike Pelletier,Home Office,East,Furniture,330.588
268,202204,2022-04-14,Christina VanderZanden,Consumer,Central,Furniture,1184.72
269,202204,2022-04-14,Christina VanderZanden,Consumer,Central,Office Supplies,6.12
270,202204,2022-04-14,Daniel Raglin,Home Office,West,Technology,302.376
271,202204,2022-04-15,Mike Gockenbach,Consumer,Central,Furniture,890.841
272,202204,2022-04-16,Guy Armstrong,Consumer,West,Furniture,205.666
273,202204,2022-04-16,Mark Packer,Home Office,Central,Furniture,127.302
274,202204,2022-04-16,Susan Gilcrest,Corporate,East,Office Supplies,10.5
275,202204,2022-04-16,Kunst Miller,Consumer,East,Office Supplies,49.65
276,202204,2022-04-16,Mark Packer,Home Office,Central,Office Supplies,335.72
277,202204,2022-04-16,Dorris liebe,Corporate,West,Office Supplies,44.4
278,202204,2022-04-16,Nat Carroll,Consumer,Central,Office Supplies,129.3
279,202204,2022-04-16,Dorris liebe,Corporate,West,Office Supplies,15.84
280,202204,2022-04-16,Mark Packer,Home Office,Central,Technology,251.944
281,202204,2022-04-17,Trudy Glocke,Consumer,South,Furniture,1125.488
282,202204,2022-04-17,Alex Avila,Consumer,West,Office Supplies,52.98
283,202204,2022-04-17,Trudy Glocke,Consumer,South,Office Supplies,4.032
284,202204,2022-04-17,Karen Bern,Corporate,South,Office Supplies,1.869
285,202204,2022-04-17,Trudy Glocke,Consumer,South,Office Supplies,12.645
286,202204,2022-04-17,Dorothy Dickinson,Consumer,Central,Office Supplies,8.134
287,202204,2022-04-17,Jas O'Carroll,Consumer,East,Office Supplies,0.852
288,202204,2022-04-17,Alex Avila,Consumer,West,Office Supplies,673.568
289,202204,2022-04-17,Dorothy Dickinson,Consumer,Central,Technology,79.984
290,202204,2022-04-18,Kunst Miller,Consumer,West,Office Supplies,17.088
291,202204,2022-04-18,Katharine Harms,Corporate,East,Office Supplies,6.24
292,202204,2022-04-18,Kunst Miller,Consumer,West,Office Supplies,29.6
293,202204,2022-04-18,Katharine Harms,Corporate,East,Office Supplies,66.96
294,202204,2022-04-19,Anna Häberlin,Corporate,South,Furniture,177.68
295,202204,2022-04-19,Rob Dowd,Consumer,South,Office Supplies,154.9
296,202204,2022-04-19,Sam Craven,Consumer,Central,Office Supplies,33.488
297,202204,2022-04-19,Sam Craven,Consumer,Central,Office Supplies,26.72
298,202204,2022-04-19,Rob Dowd,Consumer,South,Office Supplies,15.84
299,202204,2022-04-19,Rob Dowd,Consumer,South,Technology,1049.93
300,202204,2022-04-20,Katrina Edelman,Corporate,West,Office Supplies,11.16
301,202204,2022-04-20,Katrina Edelman,Corporate,West,Technology,159.98
302,202204,2022-04-20,Katrina Edelman,Corporate,West,Technology,62.31
303,202204,2022-04-21,Maurice Satty,Consumer,Central,Furniture,5.47
304,202204,2022-04-21,Maurice Satty,Consumer,Central,Office Supplies,79.36
305,202204,2022-04-21,Mary Zewe,Corporate,West,Office Supplies,7.184
306,202204,2022-04-21,Paul Knutson,Home Office,West,Office Supplies,18.9
307,202204,2022-04-21,Ken Black,Corporate,South,Office Supplies,12.96
308,202204,2022-04-21,Ken Black,Corporate,South,Office Supplies,19.44
309,202204,2022-04-21,Ken Black,Corporate,South,Office Supplies,232.55
310,202204,2022-04-21,Ken Black,Corporate,South,Technology,99.98
311,202204,2022-04-22,Greg Maxwell,Corporate,South,Office Supplies,22.96
312,202204,2022-04-22,Ruben Dartt,Consumer,Central,Office Supplies,26.7
313,202204,2022-04-22,Ruben Dartt,Consumer,Central,Office Supplies,13.89
314,202204,2022-04-22,Greg Maxwell,Corporate,South,Office Supplies,22.96
315,202204,2022-04-22,Roy Phan,Corporate,South,Office Supplies,115.36
316,202204,2022-04-22,Ruben Dartt,Consumer,Central,Office Supplies,40.2
317,202204,2022-04-22,Greg Maxwell,Corporate,South,Office Supplies,12.96
318,202204,2022-04-22,Tracy Hopkins,Home Office,East,Office Supplies,55.48
319,202204,2022-04-22,Ruben Dartt,Consumer,Central,Office Supplies,689.82
320,202204,2022-04-22,John Grady,Corporate,Central,Office Supplies,52.096
321,202204,2022-04-22,John Grady,Corporate,Central,Office Supplies,49.632
322,202204,2022-04-22,Greg Maxwell,Corporate,South,Office Supplies,4164.05
323,202204,2022-04-22,Greg Maxwell,Corporate,South,Technology,28.99
324,202204,2022-04-23,Andy Yotov,Corporate,West,Furniture,91.96
325,202204,2022-04-23,Andy Yotov,Corporate,West,Furniture,33.11
326,202204,2022-04-23,Scott Cohen,Corporate,West,Furniture,653.55
327,202204,2022-04-23,Shirley Daniels,Home Office,East,Furniture,154.764
328,202204,2022-04-23,Frank Hawley,Corporate,West,Office Supplies,70.95
329,202204,2022-04-23,Frank Hawley,Corporate,West,Office Supplies,65.568
330,202204,2022-04-23,Guy Phonely,Corporate,East,Office Supplies,44.91
331,202204,2022-04-23,Andy Yotov,Corporate,West,Office Supplies,55.48
332,202204,2022-04-23,Andy Yotov,Corporate,West,Office Supplies,19.44
333,202204,2022-04-23,Shirley Daniels,Home Office,East,Office Supplies,10.304
334,202204,2022-04-23,Scott Cohen,Corporate,West,Technology,33.9
335,202204,2022-04-23,Frank Hawley,Corporate,West,Technology,299.97
336,202204,2022-04-23,Shirley Daniels,Home Office,East,Technology,116.784
337,202204,2022-04-24,Pauline Johnson,Consumer,South,Furniture,8.96
338,202204,2022-04-24,Roland Schwarz,Corporate,South,Office Supplies,122.97
339,202204,2022-04-24,Valerie Mitchum,Home Office,South,Office Supplies,58.32
340,202204,2022-04-24,Roland Schwarz,Corporate,South,Technology,629.95
341,202204,2022-04-24,Valerie Mitchum,Home Office,South,Technology,200.97
342,202204,2022-04-25,Ruben Ausman,Corporate,South,Furniture,1215.92
343,202204,2022-04-25,Nathan Mautz,Home Office,West,Furniture,99.592
344,202204,2022-04-25,John Stevenson,Consumer,East,Furniture,172.11
345,202204,2022-04-25,Jim Mitchum,Corporate,West,Office Supplies,2.368
346,202204,2022-04-25,Pauline Chand,Home Office,West,Office Supplies,49.792
347,202204,2022-04-25,Jim Mitchum,Corporate,West,Office Supplies,19.008
348,202204,2022-04-25,Nathan Mautz,Home Office,West,Technology,399.96
349,202204,2022-04-28,Sanjit Engle,Consumer,West,Office Supplies,9.584
350,202204,2022-04-28,Jay Kimmel,Consumer,South,Office Supplies,6.912
351,202204,2022-04-28,Jay Kimmel,Consumer,South,Office Supplies,10.368
352,202204,2022-04-28,Michelle Moray,Consumer,West,Office Supplies,87.08
353,202204,2022-04-28,Jay Kimmel,Consumer,South,Technology,335.944
354,202204,2022-04-28,Jay Kimmel,Consumer,South,Technology,383.976
355,202204,2022-04-28,Michelle Moray,Consumer,West,Technology,217.44
356,202204,2022-04-28,Michelle Moray,Consumer,West,Technology,105.584
357,202204,2022-04-28,Gary Mitchum,Home Office,Central,Technology,758.352
358,202204,2022-04-29,Kean Nguyen,Corporate,West,Furniture,308.499
359,202204,2022-04-29,Edward Hooks,Corporate,West,Office Supplies,39.68
360,202204,2022-04-29,Kean Nguyen,Corporate,West,Office Supplies,18.088
361,202204,2022-04-29,Stewart Visinsky,Consumer,Central,Office Supplies,32.4
362,202204,2022-04-29,Kean Nguyen,Corporate,West,Technology,438.368
363,202204,2022-04-29,Kean Nguyen,Corporate,West,Technology,1075.088
364,202204,2022-04-30,Jonathan Doherty,Corporate,East,Office Supplies,17.856
365,202204,2022-04-30,Jonathan Doherty,Corporate,East,Office Supplies,509.97
366,202204,2022-04-30,Jonathan Doherty,Corporate,East,Office Supplies,30.992
