RowID,OrderDate,OrderID,OrderLineID,PaymentType,Brand,ProductCategoryID,Category,ProductType,ProductID,ProductName,ShippingType,Delivery,CustomerID,Customer,City,State,Country,CustomerAge,Gender,Sector,Units,Tax,ProductPrice,InventoryUnits,OrderShipTime,OrderTotalDeliveryTime,ReturnFlag,DiscountAmount,Sales,Discount,GrossMargin,Carrier,ShippingTime,OrderYearMonth
27,2024-04-28,123925728,I68832,Google Pay,MegaByte,9012,Storage,External Hard Drive,100958,DataVault 64TB,One Day Delivery,Ontime Delivery,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,523,34,7,9.15,No,0,559.61,0.0,1,UPS,0.4,2024-04
28,2024-04-28,123925728,I21566,Google Pay,FireStorm,9011,Security,Fire Alarm,100934,FireGuard 6000,Standard Delivery,Ontime Delivery,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,187,6,92,106.6,No,0,200.09,0.0,2,UPS,4.4,2024-04
29,2024-04-28,123925728,I27905,Google Pay,CyberTech,9002,Audio,Wireless Headphones,100725,AuraBass 500,Standard Delivery,Ontime Delivery,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,155,12,12,78.88,No,7.905,158.1,0.05,17,UPS,3.3,2024-04
30,2024-04-28,123925728,I73387,Google Pay,AeroTech,9010,Photography,Drone,100930,SkyCopter 2000,Standard Delivery,Ontime Delivery,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,1700,12,1,77.87,No,234.6,1564.0,0.15,34,UPS,3.2,2024-04
31,2024-04-28,123925728,I54045,Google Pay,VivoSync,9013,Wearable,Fitness Tracker,100912,FitSync 15,Standard Delivery,Ontime Delivery,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,2,0.07,413,29,40,87.28,No,154.462,772.31,0.2,6,UPS,3.6,2024-04
32,2024-04-28,123925728,I48757,Google Pay,PureSound,9002,Audio,Noise-Canceling Headphones,100910,SilenceMax Deluxe,Two Day Delivery,Order Delayed,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,338,0,18,69.5,No,23.66,338.0,0.07,35,FasTrac,2.9,2024-04
33,2024-04-28,123925728,I3786,Google Pay,UltraScan,9001,Accessories,Barcode Scanner,100917,ScanMaster Deluxe,One Day Delivery,Order Delayed,D1.1130,Nico Harding,Morris Plains,New Jersey,USA,Less than 18,Male,Premium,1,0.07,485,3,25,27.83,No,66.93,446.2,0.15,27,FedEx,1.2,2024-04
34,2024-04-28,123927780,I28519,Google Pay,AeroTech,9010,Photography,Drone,101016,SkyCopter 8000,Standard Delivery,Ontime Delivery,D1.1902,Daniel Kroon,Salt Lake City,Utah,USA,55 - 64,Male,Non-Premium,1,0.07,2325,20,17,93.85,No,623.1,1557.75,0.4,31,FedEx,3.9,2024-04
35,2024-04-28,123927780,I81725,Google Pay,AquaView,9010,Photography,Underwater Camera,100846,AquaCapture 2000,Standard Delivery,Ontime Delivery,D1.1902,Daniel Kroon,Salt Lake City,Utah,USA,55 - 64,Male,Non-Premium,2,0.07,888,16,15,78.05,No,255.744,1704.96,0.15,14,FedEx,3.3,2024-04
36,2024-04-28,123927780,I14988,Google Pay,FusionTech,9009,Office,Multi-Function Printer,101009,OfficeMaster Master Pro,Two Day Delivery,Ontime Delivery,D1.1902,Daniel Kroon,Salt Lake City,Utah,USA,55 - 64,Male,Non-Premium,1,0.07,342,3,17,37.44,No,0,365.94,0.0,17,FedEx,1.6,2024-04
37,2024-04-28,123927780,I75766,Google Pay,TechPulse,9007,Home Automation,Smart Mirror,100962,MirrorPro Master,Two Day Delivery,Order Delayed,D1.1902,Daniel Kroon,Salt Lake City,Utah,USA,55 - 64,Male,Non-Premium,1,0.07,978,51,27,62.07,No,0,1046.46,0.0,12,FasTrac,2.6,2024-04
38,2024-04-28,123927780,I81868,Google Pay,UltraScan,9001,Accessories,Barcode Scanner,100874,ScanMaster Supreme,Standard Delivery,Ontime Delivery,D1.1902,Daniel Kroon,Salt Lake City,Utah,USA,55 - 64,Male,Non-Premium,1,0.07,394,15,31,98.67,Yes,0,421.58,0.0,28,FedEx,4.1,2024-04
39,2024-04-28,123929882,I82573,Mastercard,LunarX,9005,Entertainment,Telescope,100879,StarScope 2000,One Day Delivery,Ontime Delivery,D1.483,Patrice Pan,Carnegie,Pennsylvania,USA,45 - 54,Female,Non-Premium,1,0.07,1710,4,8,11.51,No,0,1829.7,0.0,19,FedEx,0.5,2024-04
40,2024-04-28,123929882,I90022,Mastercard,LunarX,9005,Entertainment,Telescope,101008,StarScope 6400,Standard Delivery,Ontime Delivery,D1.483,Patrice Pan,Carnegie,Pennsylvania,USA,45 - 54,Female,Non-Premium,1,0.07,1836,3,5,77.5,No,0,1964.52,0.0,21,FedEx,3.2,2024-04
41,2024-04-28,123929882,I15,Mastercard,Futura,9005,Entertainment,Smart TV,100937,ViewMaster 85,Two Day Delivery,Order Delayed,D1.483,Patrice Pan,Carnegie,Pennsylvania,USA,45 - 54,Female,Non-Premium,1,0.07,1291,2,20,56.51,No,0,1381.37,0.0,30,FasTrac,2.4,2024-04
42,2024-04-28,123929882,I2543,Mastercard,SunCharge,9001,Accessories,Solar Charger,100997,SolarBoost 8000,Two Day Delivery,Order Delayed,D1.483,Patrice Pan,Carnegie,Pennsylvania,USA,45 - 54,Female,Non-Premium,1,0.07,278,13,53,60.21,No,56.99,227.96,0.25,15,FasTrac,2.5,2024-04
43,2024-04-28,123929977,I50744,Paypal,VitaLife,9013,Wearable,Health Monitor,100886,HealthTrack 15,Standard Delivery,Ontime Delivery,D1.1753,Paul Cullen,Warner Robins,Georgia,USA,45 - 54,Male,Non-Premium,1,0.07,539,73,13,89.6,No,0,576.73,0.0,18,FedEx,3.7,2024-04
44,2024-04-28,123929977,I29810,Paypal,CloudLink,9012,Storage,Cloud Storage,100885,CloudSync 16TB,Standard Delivery,Ontime Delivery,D1.1753,Paul Cullen,Warner Robins,Georgia,USA,45 - 54,Male,Non-Premium,2,0.07,532,78,49,94.85,No,0,1101.24,0.0,15,FedEx,4,2024-04
45,2024-04-28,123929977,I5501,Paypal,AquaView,9010,Photography,Underwater Camera,100846,AquaCapture 2000,One Day Delivery,Order Delayed,D1.1753,Paul Cullen,Warner Robins,Georgia,USA,45 - 54,Male,Non-Premium,1,0.07,888,16,2,29.99,No,0,950.16,0.0,32,FedEx,1.2,2024-04
46,2024-04-29,12392221,I54497,Visa,Quantum,9004,Computing,Tablet,100941,TabLink 30,One Day Delivery,Order Delayed,D1.761,Gary Keily,Kelso,Washington,USA,45 - 54,Male,Non-Premium,1,0.07,1026,24,8,26.3,No,52.326,1046.52,0.05,22,FedEx,1.1,2024-04
47,2024-04-29,12393842,I79101,Google Pay,SunCharge,9001,Accessories,Solar Charger,100997,SolarBoost 8000,Standard Delivery,Ontime Delivery,D1.1910,Richard Ingleby,Allentown,Pennsylvania,USA,65 - 74,Male,Non-Premium,1,0.07,278,13,22,101.71,No,0,297.46,0.0,4,FedEx,4.2,2024-04
48,2024-04-29,12393842,I6238,Google Pay,SunCharge,9001,Accessories,Solar Charger,100868,SolarBoost 1000,Standard Delivery,Ontime Delivery,D1.1910,Richard Ingleby,Allentown,Pennsylvania,USA,65 - 74,Male,Non-Premium,1,0.07,285,19,4,101.35,No,0,304.95,0.0,17,FedEx,4.2,2024-04
49,2024-04-29,12393842,I73854,Google Pay,Zenith,9005,Entertainment,Projector,100847,ViewMaster 120,Standard Delivery,Ontime Delivery,D1.1910,Richard Ingleby,Allentown,Pennsylvania,USA,65 - 74,Male,Non-Premium,1,0.07,363,3,2,79.47,No,18.513,370.26,0.05,28,FedEx,3.3,2024-04
50,2024-04-29,12393842,I90088,Google Pay,EcoHeat,9007,Home Automation,Smart Thermostat,100791,HeatWave Elite,Standard Delivery,Ontime Delivery,D1.1910,Richard Ingleby,Allentown,Pennsylvania,USA,65 - 74,Male,Non-Premium,1,0.07,193,25,7,35.69,No,26.634,177.56,0.15,11,FedEx,1.5,2024-04
51,2024-04-29,12393842,I78567,Google Pay,LaserEdge,9009,Office,Laser Printer,100797,LaserPrint Elite,Standard Delivery,Ontime Delivery,D1.1910,Richard Ingleby,Allentown,Pennsylvania,USA,65 - 74,Male,Non-Premium,1,0.07,272,0,15,87.86,No,55.76,223.04,0.25,6,FedEx,3.7,2024-04
52,2024-04-29,12398523,I1894,Visa,AstroWave,9006,Gaming,Gaming Console,100900,GameMaster X Ultimate,Standard Delivery,Ontime Delivery,D1.130,Janet Tran,Harwood Heights,Illinois,USA,45 - 54,Male,Non-Premium,1,0.07,561,0,5,79.63,No,54.417,544.17,0.1,23,FedEx,3.3,2024-04
53,2024-04-29,12398595,I67391,Paypal,EcoHeat,9007,Home Automation,Smart Thermostat,100877,HeatWave Supreme,Standard Delivery,Ontime Delivery,D1.792,Jessica O'Reilly,Milwaukee,Wisconsin,USA,35 - 44,Female,Non-Premium,1,0.07,235,97,3,35.46,No,0,251.45,0.0,2,FedEx,1.5,2024-04
54,2024-04-29,12398595,I91915,Paypal,MegaByte,9012,Storage,External Hard Drive,100829,DataVault 8TB,Standard Delivery,Ontime Delivery,D1.792,Jessica O'Reilly,Milwaukee,Wisconsin,USA,35 - 44,Female,Non-Premium,1,0.07,614,48,12,74.55,No,0,656.98,0.0,13,FedEx,3.1,2024-04
55,2024-04-29,12398595,I15735,Paypal,AstroWave,9006,Gaming,Gaming Console,100728,GameMaster X,Two Day Delivery,Order Delayed,D1.792,Jessica O'Reilly,Milwaukee,Wisconsin,USA,35 - 44,Female,Non-Premium,1,0.07,409,3,54,69.84,No,39.673,396.73,0.1,26,FasTrac,2.9,2024-04
56,2024-04-29,123916882,I97213,Visa,CloudLink,9012,Storage,Cloud Storage,100756,CloudSync 2TB,Standard Delivery,Ontime Delivery,D1.1696,Mark Nikii,Manhattan,Kansas,USA,Less than 18,Male,Non-Premium,1,0.07,591,83,7,99.23,No,0,632.37,0.0,1,FedEx,4.1,2024-04
57,2024-04-29,123916882,I52007,Visa,GalaxyGear,9013,Wearable,Smart Glasses,100961,SmartGaze 9600,Standard Delivery,Ontime Delivery,D1.1696,Mark Nikii,Manhattan,Kansas,USA,Less than 18,Male,Non-Premium,1,0.07,514,79,9,77.82,No,0,549.98,0.0,7,FedEx,3.2,2024-04
58,2024-04-29,123916882,I14577,Visa,NeoVision,9013,Wearable,VR Headset,100733,VRXperience Pro,Standard Delivery,Ontime Delivery,D1.1696,Mark Nikii,Manhattan,Kansas,USA,Less than 18,Male,Non-Premium,1,0.07,1087,67,41,106.53,No,0,1163.09,0.0,24,FedEx,4.4,2024-04
59,2024-04-29,123927075,I6375,Google Pay,SolarFlare,9001,Accessories,Solar Panel,100749,SolarPanel X,Two Day Delivery,Order Delayed,D1.679,Sasha Zissimatos,Miami,Florida,USA,35 - 44,Female,Premium,1,0.07,424,18,21,53.18,No,0,453.68,0.0,33,FasTrac,2.2,2024-04
60,2024-04-30,1239627,I43811,Paypal,Zenith,9005,Entertainment,Projector,100804,ViewMaster 100,Standard Delivery,Ontime Delivery,D1.195,Annabel Banville,Defiance,Ohio,USA,75 - 84,Female,Premium,1,0.07,454,5,1,100.67,No,44.038,440.38,0.1,26,UPS,4.2,2024-04
61,2024-04-30,1239627,I3716,Paypal,AquaView,9010,Photography,Underwater Camera,100760,AquaCapture 500,Two Day Delivery,Ontime Delivery,D1.195,Annabel Banville,Defiance,Ohio,USA,75 - 84,Female,Premium,1,0.07,710,7,17,40.14,No,123.54,617.7,0.2,6,UPS,1.7,2024-04
62,2024-04-30,1239729,I52416,Amex,RetroWave,9002,Audio,Record Player,100927,VinylMax 4000,One Day Delivery,Ontime Delivery,D1.1193,Matt Hatzisavas,Decatur,Alabama,USA,35 - 44,Male,Premium,1,0.07,351,12,5,11.08,No,0,375.57,0.0,6,UPS,0.5,2024-04
63,2024-04-30,12392368,I38660,Mastercard,AquaView,9010,Photography,Underwater Camera,100760,AquaCapture 500,Two Day Delivery,Ontime Delivery,D1.1640,Georgina Boskovitz,Naples,Florida,USA,35 - 44,Female,Non-Premium,1,0.07,710,7,21,41.89,No,145.55,582.2,0.25,11,FasTrac,1.7,2024-04
64,2024-04-30,12392368,I70493,Mastercard,CosmoCell,9004,Computing,Tablet,100951,TabLink 25 Pro,Standard Delivery,Ontime Delivery,D1.1640,Georgina Boskovitz,Naples,Florida,USA,35 - 44,Female,Non-Premium,1,0.07,879,31,40,109.2,No,0,940.53,0.0,10,FedEx,4.5,2024-04
65,2024-04-30,12392368,I10863,Mastercard,SpeedX,9008,Networking,Router,100907,SpeedLink 96000,Standard Delivery,Ontime Delivery,D1.1640,Georgina Boskovitz,Naples,Florida,USA,35 - 44,Female,Non-Premium,1,0.07,218,1,1,115.52,No,0,233.26,0.0,16,FedEx,4.8,2024-04
66,2024-04-30,12392368,I44594,Mastercard,AstroWave,9006,Gaming,Gaming Console,100943,GameMaster X Ultimate Pro,Two Day Delivery,Order Delayed,D1.1640,Georgina Boskovitz,Naples,Florida,USA,35 - 44,Female,Non-Premium,1,0.07,592,4,6,60.15,No,30.192,603.84,0.05,34,FasTrac,2.5,2024-04
67,2024-04-30,12392368,I47376,Mastercard,VitaLife,9013,Wearable,Health Monitor,100886,HealthTrack 15,Two Day Delivery,Order Delayed,D1.1640,Georgina Boskovitz,Naples,Florida,USA,35 - 44,Female,Non-Premium,2,0.07,539,73,8,51.99,No,245.245,980.98,0.25,27,FasTrac,2.2,2024-04
68,2024-04-30,12393710,I85286,Visa,MegaByte,9012,Storage,External Hard Drive,100743,DataVault 2TB,Standard Delivery,Ontime Delivery,D1.959,Madeline Moore,Brownsburg,Indiana,USA,45 - 54,Female,Premium,1,0.07,439,88,62,111.01,No,0,469.73,0.0,5,UPS,4.6,2024-04
69,2024-04-30,12394225,I51818,Apple Pay,SolarCity,9007,Home Automation,Solar Power System,100802,SolarHome Elite,Two Day Delivery,Ontime Delivery,D1.1941,Victoria Williams,Little Rock,Arkansas,USA,45 - 54,Female,Non-Premium,1,0.07,859,76,25,47.65,No,0,919.13,0.0,14,FasTrac,2,2024-04
70,2024-04-30,12394225,I70877,Apple Pay,VivoSync,9013,Wearable,Fitness Tracker,100783,FitSync 7,Two Day Delivery,Ontime Delivery,D1.1941,Victoria Williams,Little Rock,Arkansas,USA,45 - 54,Female,Non-Premium,1,0.07,258,22,17,36.57,No,0,276.06,0.0,32,FedEx,1.5,2024-04
71,2024-04-30,12394967,I76614,Google Pay,CosmoCell,9004,Computing,Tablet,100865,TabLink 15 Pro,One Day Delivery,Ontime Delivery,D1.1791,Louise Hedge,Louisville,Kentucky,USA,75 - 84,Female,Premium,1,0.07,724,20,3,19.76,No,50.68,724.0,0.07,22,UPS,0.8,2024-04
72,2024-04-30,12394967,I44782,Google Pay,WaveLink,9008,Networking,Bluetooth Adapter,100978,BluetoothLink Master,Standard Delivery,Ontime Delivery,D1.1791,Louise Hedge,Louisville,Kentucky,USA,75 - 84,Female,Premium,1,0.07,22,5,25,104.34,No,0,23.54,0.0,34,UPS,4.3,2024-04
73,2024-04-30,12394967,I9530,Google Pay,Solaris,9011,Security,Security Camera,100944,SafeView 20K,Standard Delivery,Ontime Delivery,D1.1791,Louise Hedge,Louisville,Kentucky,USA,75 - 84,Female,Premium,1,0.07,78,2,13,103.83,No,5.46,78.0,0.07,15,UPS,4.3,2024-04
74,2024-04-30,12394967,I8181,Google Pay,TechZone,9003,Communication,Smartphone,100893,Photon X7,Two Day Delivery,Ontime Delivery,D1.1791,Louise Hedge,Louisville,Kentucky,USA,75 - 84,Female,Premium,2,0.07,658,29,30,44.67,No,129.626,1296.26,0.1,2,UPS,1.9,2024-04
75,2024-04-30,12395069,I58892,Visa,GalaxyGear,9013,Wearable,Smart Glasses,100875,SmartGaze 2400,Two Day Delivery,Order Delayed,D1.766,Patrick Chan,Plainview,Texas,USA,55 - 64,Male,Non-Premium,1,0.07,745,95,0,56.43,No,129.63,648.15,0.2,16,FasTrac,2.4,2024-04
76,2024-04-30,12397015,I18664,Mastercard,WaveLink,9008,Networking,Bluetooth Adapter,101021,BluetoothLink Master Pro,Standard Delivery,Ontime Delivery,D1.1918,Tom West,Charleston,South Carolina,USA,45 - 54,Male,Premium,1,0.07,34,0,5,84.02,No,0,36.38,0.0,16,UPS,3.5,2024-04
77,2024-04-30,12397015,I53241,Mastercard,Solaris,9011,Security,Security Camera,100944,SafeView 20K,Standard Delivery,Ontime Delivery,D1.1918,Tom West,Charleston,South Carolina,USA,45 - 54,Male,Premium,2,0.07,78,2,24,81.02,No,0,161.46,0.0,25,UPS,3.4,2024-04
78,2024-04-30,12397015,I48688,Mastercard,SunCharge,9001,Accessories,Solar Charger,100997,SolarBoost 8000,Two Day Delivery,Ontime Delivery,D1.1918,Tom West,Charleston,South Carolina,USA,45 - 54,Male,Premium,1,0.07,278,13,3,41.12,Yes,48.372,241.86,0.2,31,UPS,1.7,2024-04
79,2024-04-30,12397592,I89445,Visa,AeroTech,9010,Photography,Drone,101016,SkyCopter 8000,Standard Delivery,Ontime Delivery,D1.1616,Ayu Hang,Yulee,Florida,USA,25 - 34,Female,Non-Premium,1,0.07,2325,20,68,115.69,No,623.1,1557.75,0.4,1,FedEx,4.8,2024-04
80,2024-04-30,12397592,I6104,Visa,SolarCity,9007,Home Automation,Solar Power System,101017,SolarHome Master Pro,Two Day Delivery,Order Delayed,D1.1616,Ayu Hang,Yulee,Florida,USA,25 - 34,Female,Non-Premium,1,0.07,564,80,26,48.9,No,0,603.48,0.0,12,FasTrac,2,2024-04
81,2024-04-30,12397592,I51510,Visa,AstroWave,9006,Gaming,Gaming Console,100728,GameMaster X,Standard Delivery,Ontime Delivery,D1.1616,Ayu Hang,Yulee,Florida,USA,25 - 34,Female,Non-Premium,1,0.07,409,3,30,106.73,Yes,0,437.63,0.0,30,FedEx,4.4,2024-04
82,2024-04-30,12398578,I82505,Paypal,LunarX,9005,Entertainment,Telescope,100793,StarScope 1200,Two Day Delivery,Ontime Delivery,D1.282,Kate Thompson,Tuscaloosa,Alabama,USA,25 - 34,Female,Premium,1,0.07,1333,0,31,38.11,No,273.265,1093.06,0.25,16,UPS,1.6,2024-04
83,2024-04-30,12398578,I2558,Paypal,StarLink,9003,Communication,Satellite Phone,100957,SatCom X Pro Max,Two Day Delivery,Order Delayed,D1.282,Kate Thompson,Tuscaloosa,Alabama,USA,25 - 34,Female,Premium,1,0.07,230,3,0,62.78,No,0,246.1,0.0,22,FasTrac,2.6,2024-04
84,2024-04-30,12398578,I19709,Paypal,LunarX,9005,Entertainment,Telescope,100922,StarScope 2400,Two Day Delivery,Order Delayed,D1.282,Kate Thompson,Tuscaloosa,Alabama,USA,25 - 34,Female,Premium,1,0.07,1140,3,17,68.26,No,0,1219.8,0.0,3,FasTrac,2.8,2024-04
